max-mi,max-MW,thermal-mi,thermal-MW,safe-mi,safe-MW
51.00776788,4152.775591,51.30268202,1791.118653,51.30268202,1279.788437
53.21962393,4067.364507,54.54673757,1790.808756,54.54673757,1253.447183
54.98910878,3993.505698,57.79079311,1790.808756,57.79079311,1227.10593
56.75859362,3918.510599,61.03484866,1790.808756,61.03484866,1201.074573
58.52807846,3844.65179,64.27890421,1790.808756,64.27890421,1173.803628
60.29756331,3769.656692,67.52295975,1790.808756,67.52295975,1147.462375
62.06704815,3696.366028,70.7670153,1790.808756,70.7670153,1121.121121
63.836533,3621.939074,74.01107085,1790.808756,74.01107085,1094.160074
65.60601784,3548.080265,77.25512639,1790.808756,77.25512639,1067.81882
67.37550268,3473.085167,80.49918194,1790.808756,80.49918194,1041.787464
69.14498753,3399.226358,83.74323749,1790.808756,83.74323749,1014.826416
70.91447237,3324.799404,86.98729303,1790.808756,86.98729303,988.7950593
72.68395721,3250.37245,90.23134858,1790.808756,90.23134858,962.1439087
74.45344206,3176.513641,93.47540412,1790.808756,93.47540412,935.1828609
76.2229269,3101.518543,96.71945967,1790.808756,96.71945967,908.5317102
77.99241174,3028.227879,99.96351522,1790.808756,99.96351522,883.120148
79.76189659,2953.23278,103.2075708,1790.808756,103.2075708,867.625293
81.53138143,2879.373971,106.4516263,1790.808756,106.4516263,855.2294089
83.30086627,2804.947018,109.6956819,1790.808756,109.6956819,842.5236278
85.07035112,2731.088209,112.9397374,1790.808756,112.9397374,829.5079496
86.83983596,2656.661255,116.183793,1790.808756,116.183793,817.1120655
88.6093208,2582.234301,119.4278485,1784.610814,119.4278485,804.4062844
90.37880565,2507.807348,123.0036825,1798.904818,122.671904,792.0104004
92.14829049,2433.380394,125.9159596,1791.118653,125.9159596,778.9947222
93.91777534,2359.521585,129.1600151,1790.808756,129.1600151,766.5988381
95.68726018,2285.094631,132.4040707,1790.808756,132.4040707,753.893057
97.45674502,2210.667678,135.6481262,1790.808756,135.6481262,741.497173
99.37368694,2132.182548,138.8921818,1790.808756,138.8921818,728.7913919
102.0279142,2067.856764,142.1362373,1790.808756,142.1362373,716.3955078
105.2719697,2021.991993,145.3802929,1790.808756,145.3802929,703.9996238
108.5160253,1976.437119,148.6243484,1790.808756,148.6243484,691.2938427
111.7600808,1931.50204,151.868404,1790.808756,151.868404,680.7573413
115.0041364,1885.637269,155.1124595,1790.808756,155.1124595,672.7000166
118.2481919,1840.082395,158.3565151,1790.808756,158.3565151,664.642692
121.4922475,1795.147315,161.6005706,1790.808756,161.6005706,656.2754703
124.736303,1749.592441,164.8446261,1790.808756,164.8446261,647.2884544
127.9803586,1704.037568,168.0886817,1790.808756,168.0886817,639.2311298
131.2244141,1658.792591,171.3327372,1790.808756,171.3327372,631.1738051
134.4684697,1613.547614,174.5767928,1790.808756,174.5767928,623.1164805
137.7125252,1567.682843,177.8208483,1790.808756,177.8208483,614.1294646
140.9565808,1522.747764,181.0649039,1790.808756,181.0649039,605.7622429
144.2006363,1477.19289,184.3089594,1790.808756,184.3089594,597.7049183
147.4446919,1431.947913,187.553015,1790.808756,187.553015,589.6475937
150.6887474,1391.971187,190.7970705,1790.808756,190.7970705,581.2803719
153.9328029,1367.799213,194.0411261,1790.808756,194.0411261,572.293356
157.1768585,1345.176725,197.2851816,1790.808756,197.2851816,564.2360314
160.420914,1322.554237,200.5292372,1790.808756,200.5292372,555.8688097
163.6649696,1299.621851,203.7732927,1790.808756,203.7732927,550.9104561
166.9090251,1276.999363,207.0173483,1790.808756,207.0173483,545.9521025
170.1530807,1254.686772,210.2614038,1790.808756,210.2614038,539.7541605
173.3971362,1231.754386,213.5054593,1790.808756,213.5054593,533.5562184
176.6411918,1208.822001,216.7495149,1790.808756,216.7495149,528.2879677
179.8852473,1186.50941,219.9935704,1790.808756,219.9935704,522.3999228
183.1293029,1163.886921,223.237626,1790.808756,223.237626,517.1316721
186.3733584,1140.954536,226.4816815,1790.808756,226.4816815,511.8634214
189.617414,1118.332047,229.7257371,1790.808756,229.7257371,505.9753765
192.8614695,1095.709559,232.9697926,1790.808756,232.9697926,500.0873316
196.1055251,1073.396968,236.2138482,1790.808756,236.2138482,494.5091838
199.3495806,1050.774479,239.4579037,1790.808756,239.4579037,489.8607272
202.5936361,1035.279624,242.7019593,1790.808756,242.7019593,483.9726823
205.8376917,1021.644152,245.9460148,1790.808756,245.9460148,478.3945345
209.0817472,1007.698782,249.1900704,1790.808756,249.1900704,472.5064896
212.3258028,994.3732071,252.4341259,1790.808756,252.4341259,469.7174157
215.5698583,981.0476318,255.6781814,1790.808756,255.6781814,465.6887534
218.8139139,967.1022623,258.922237,1790.808756,258.922237,464.7590621
222.0579694,953.4667898,262.1662925,1790.808756,262.1662925,460.7303998
225.302025,939.8313174,265.4103481,1790.808756,265.4103481,457.9413259
228.5460805,926.195845,268.6544036,1790.808756,268.6544036,456.7017375
231.7901361,912.5603725,271.8984592,1790.808756,271.8984592,451.7433839
235.0341916,898.9249001,275.1425147,1790.808756,275.1425147,451.1235897
238.2782472,885.2894277,278.3865703,1790.808756,278.3865703,447.0949274
241.5223027,871.6539553,281.6306258,1790.808756,281.6306258,444.3058534
244.7663582,858.0184828,284.8746814,1790.808756,284.8746814,443.3761621
248.0104138,844.3830104,288.1187369,1790.808756,288.1187369,437.7980143
251.2544693,833.5366119,291.3627925,1790.808756,291.3627925,437.4881172
254.4985249,823.9298018,294.606848,1790.808756,294.606848,433.4594549
257.7425804,815.56258,297.8509036,1790.808756,297.8509036,430.670381
260.986636,806.265667,301.0949591,1790.808756,301.0949591,429.1208955
264.2306915,796.6588569,304.3390146,1790.808756,304.3390146,423.8526448
267.4747471,787.9817381,307.5830702,1790.808756,307.5830702,422.3031593
270.7188026,778.374928,310.8271257,1790.808756,310.8271257,417.0349086
273.9628582,769.387912,314.0711813,1790.808756,314.0711813,415.7953202
277.2069137,760.7107932,317.3152368,1790.808756,317.3152368,410.2171724
280.4509693,751.1039831,320.5592924,1790.808756,320.5592924,408.977584
283.6950248,741.8070701,323.8033479,1790.808756,323.8033479,403.3994362
286.9390804,733.1299513,327.0474035,1790.808756,327.0474035,401.8499507
290.1831359,723.5231411,330.291459,1790.808756,330.291459,396.891597
293.4271914,714.5361252,333.5355146,1790.808756,333.5355146,395.0322144
296.671247,705.8590064,336.7795701,1790.808756,336.7795701,390.0738608
299.9153025,697.1818876,340.0236257,1790.808756,340.0236257,388.2144782
303.1593581,690.9839456,343.2676812,1790.808756,343.2676812,383.2561246
306.4034136,684.1662094,346.5117368,1790.808756,346.5117368,381.396742
309.6474692,677.6583702,349.7557923,1790.808756,349.7557923,376.7482855
312.8915247,671.1505311,352.9998478,1790.808756,352.9998478,376.1284913
316.1355803,664.642692,356.2439034,1790.808756,356.2439034,373.3394174
319.3796358,658.1348529,359.4879589,1790.808756,359.4879589,369.9305493
322.6236914,651.3171167,362.7320145,1790.808756,362.7320145,369.3107551
325.8677469,645.1191747,365.97607,1790.808756,365.97607,366.5216812
329.1118025,638.3014385,369.2201256,1790.808756,369.2201256,363.1128131
332.355858,631.7935993,372.4641811,1790.808756,372.4641811,362.4930189
335.5999135,625.2857602,375.7082367,1790.808756,375.7082367,360.0138421
338.8439691,618.7779211,378.9522922,1790.808756,378.9522922,356.604974
342.0880246,612.270082,382.1963478,1790.808756,382.1963478,355.6752827
345.3320802,605.7622429,385.4404033,1790.808756,385.4404033,353.506003
348.5761357,598.9445067,388.6844589,1790.808756,388.6844589,350.0971348
351.8201913,594.2960502,391.9285144,1790.808756,391.9285144,348.8575464
355.0642468,588.4080053,395.1725699,1790.808756,395.1725699,346.9981638
358.3083024,584.68924,398.4166255,1790.808756,398.4166255,343.5892957
361.5523579,580.0407835,401.660681,1790.808756,401.660681,342.0398102
364.7964135,574.1527386,404.9047366,1790.808756,404.9047366,340.1804276
368.040469,569.8141792,408.1487921,1790.808756,408.1487921,337.0814566
371.2845246,566.095414,411.3928477,1790.808756,411.3928477,335.222074
374.5285801,560.2073691,414.6369032,1790.808756,414.6369032,333.6725885
377.7726357,555.5589126,417.8809588,1790.808756,417.8809588,330.2637204
381.0166912,551.2203532,421.1250143,1790.808756,421.1250143,328.4043378
384.2607467,546.5718967,424.3690699,1790.808756,424.3690699,327.1647494
387.5048023,540.6838518,427.6131254,1790.808756,427.6131254,323.7558813
390.7488578,536.9650865,430.857181,1790.808756,430.857181,321.5866016
393.9929134,532.31663,434.1012365,1790.808756,434.1012365,320.6569103
397.2369689,526.4285851,437.3452921,1790.808756,437.3452921,317.2480422
400.4810245,522.7098199,440.5893476,1790.808756,440.5893476,314.7688654
403.72508,519.3009518,443.8334031,1790.808756,443.8334031,314.1490712
406.9691356,514.3425982,447.0774587,1790.808756,447.0774587,310.7402031
410.2131911,512.1733185,449.2893147,1793.365407,449.1418577,309.0874185
413.4572467,506.5951707,,,,
416.7013022,504.7357881,,,,
419.9453578,499.1576403,,,,
423.1894133,496.9883606,,,,
426.4334689,492.030007,,,,
429.6775244,489.240933,,,,
432.9215799,485.2122707,,,,
436.1656355,481.1836084,,,,
439.409691,478.3945345,,,,
442.6537466,472.8163867,,,,
445.8978021,470.9570041,,,,
448.5520294,466.2200056,,,,
